Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor
LUCKEY DITCH,DAKOTA SANDSTONE (LOWER MEMBER),USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION,41.0204,-110.2755,WHITING OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3975.0,CRETACEOUS,SANDSTONE,75.0,6.9,14.0,60.0,813.2183908045977,0.15,,
LUGINETS,TYUMEN-NAUNAK,RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,58.1,78.5167,TOMSKNEFT (YUKOS),ONSHORE,OIL,REJUVENATING,INTRACRATONIC,2283.0,JURASSIC,SANDSTONE,90.0,60.0,17.0,20.0,829.9120234604105,0.26,,
MABEE,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.226,-102.23,CHEVRON,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1404.0,PERMIAN,DOLOMITE,120.0,15.0,10.5,8.0,865.4434250764525,0.3,,
MACKEREL,LATROBE (L1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,,-38.4822,148.3556,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,NEARLY DEPLETED,INVERSION,2170.5,PALEOGENE,SANDSTONE,108.0,89.4,,800.0,801.6997167138811,,,
MAHOGANY (USA),O-Q SANDS,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY,28.04,-90.96,PHILLIPS,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,3979.5,NEOGENE,LOW-RESISTIVITY SANDSTONE,450.0,88.5,29.0,1500.0,921.8241042345277,,,
MALING,YANAN,CHINA,FAR EAST,ORDOS,COMPRESSION,36.22,107.62,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1132.8,JURASSIC,SANDSTONE,295.2,7.2,16.0,72.0,849.8498498498498,0.28,,
MANSURI,ILAM,IRAN,MIDDLE EAST,ZAGROS,COMPRESSION,30.8833,48.8333,NIOC,ONSHORE,OIL,CONTINUING DEVELOPMENT,FORELAND,3063.3,CRETACEOUS,CHALKY LIMESTONE,98.4,63.9,13.0,0.8,921.8241042345277,0.08,,
MANSURI,SARVAK 1,IRAN,MIDDLE EAST,ZAGROS,COMPRESSION,30.8833,48.8333,NIOC,ONSHORE,OIL,CONTINUING DEVELOPMENT,FORELAND,3210.9,CRETACEOUS,CHALKY LIMESTONE,246.0,278.4,9.0,0.2,904.1533546325878,0.08,,
MARKOVO,PARFENOV,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,COMPRESSION,57.4375,107.3058,VOSTSIBNEFTEGAZGEOLOGIYA,ONSHORE,GAS-CONDENSATE,DEVELOPING,RIFT,2578.8,PROTEROZOIC,SANDSTONE,51.6,7.5,9.0,152.0,738.9033942558747,,,
MARLIM,CARAPEBUS,BRAZIL,LATIN AMERICA,CAMPOS,GRAVITY,-22.4348,-40.0666,PETROBRAS,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT,1662.9,PALEOGENE-NEOGENE,SANDSTONE,45.0,45.0,28.5,2000.0,933.9933993399341,0.35,,
MASTAKH,KYZYLSYR,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,TRANSPRESSION,63.75,124.0,YAKUTGASPROM,ONSHORE,GAS,DECLINING PRODUCTION,PASSIVE MARGIN,1688.1,JURASSIC,SANDSTONE,270.0,6.9,20.0,95.0,766.9376693766937,,,
MATZEN,HAUPTDOLOMITE (SCHONKIRCHEN UBERTIEF),AUSTRIA,EUROPE,VIENNA,COMPRESSION,48.3942,16.7161,OMV,ONSHORE,GAS,MATURE PRODUCTION,THRUST,4626.0,TRIASSIC,DOLOMITE,885.9,295.2,3.8,2.0,,,,
MATZEN,MATZEN SAND,AUSTRIA,EUROPE,VIENNA,,48.3942,16.7161,OMV,ONSHORE,OIL,MATURE PRODUCTION,RIFT,1215.0,NEOGENE,SANDSTONE,49.2,16.8,,1400.0,915.8576051779935,0.6,,
MAXI,SHAHEJIE (BANQIAO),CHINA,FAR EAST,BOHAI,EXTENSION,38.7,117.53,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,RIFT,3727.5,PALEOGENE,SANDSTONE,226.5,24.9,13.6,11.0,844.776119402985,0.43,,
MAYDAN MAHZAM,ARAB C,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY,25.6,52.55,QATAR PETROLEUM,OFFSHORE,OIL,REJUVENATING,SALT,1998.3,JURASSIC,DOLOMITE,24.0,16.5,25.0,600.0,834.8082595870206,0.44,,
MAYDAN MAHZAM,ARAB D,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY,25.6,52.55,QATAR PETROLEUM,OFFSHORE,OIL,REJUVENATING,SALT,2026.5,JURASSIC,LIMESTONE,39.0,36.0,25.0,500.0,834.8082595870206,0.44,,
MAYSDORF,UPPER MINNELUSA (A SAND),USA,NORTH AMERICA,POWDER RIVER,,44.0413,-105.4063,BOWDEN ENERGY /DUNCAN OIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3166.5,PERMIAN,SANDSTONE,30.0,6.3,,155.0,825.072886297376,0.38,,
MCALLEN RANCH,LOWER VICKSBURG,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,26.6226,-98.3153,SHELL,ONSHORE,GAS,MATURE PRODUCTION,DELTA,2820.0,PALEOGENE,SANDSTONE,90.0,42.0,16.0,0.6,,,,0.5
MCARTHUR RIVER,HEMLOCK CONGLOMERATE,USA,NORTH AMERICA,COOK INLET,INVERSION,60.8399,-151.6153,CHEVRON,OFFSHORE,OIL,NEARLY DEPLETED,INVERSION,2634.0,PALEOGENE,CONGLOMERATE,150.0,87.0,11.0,125.0,854.9848942598187,0.42,,
MCELROY,GRAYBURG,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.4289,-102.3099,CHEVRON,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,885.0,PERMIAN,DOLOMITE,120.0,30.0,9.0,5.0,865.4434250764525,0.2,,
MEANS,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.5066,-102.5313,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1275.0,PERMIAN,DOLOMITE,71.1,45.0,10.0,10.0,881.619937694704,0.51,,
MEDICINE HAT,MEDICINE HAT (A POOL),CANADA,NORTH AMERICA,WILLISTON,COMPRESSION,50.0375,-110.6857,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,391.5,CRETACEOUS,SILTSTONE,9.0,3.2,20.0,2.0,,,,0.825
MEDICINE RIVER,J2 SANDSTONE,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.8,-114.1,CRESTAR ENERGY,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,2064.0,JURASSIC,SANDSTONE,33.6,18.9,14.5,64.2,892.7444794952681,0.3,,
MEDICINE RIVER,PEKISKO,CANADA,NORTH AMERICA,WESTERN CANADA,,51.8,-114.1,CRESTAR ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2070.0,CARBONIFEROUS,DOLOMITE,49.5,12.8,,38.0,904.1533546325878,0.172,,
MENE GRANDE,ISNOTU,VENEZUELA,LATIN AMERICA,MARACAIBO,COMPRESSION,9.8228,-70.9198,REPSOL YPF,ONSHORE,OIL,REJUVENATING,FORELAND,331.2,NEOGENE,THINLY-BEDDED SANDSTONE,420.0,30.0,30.0,1000.0,946.4882943143813,0.3,,
MESSLAH,SARIR,LIBYA,AFRICA,SIRT,,27.922,22.4056,LNOC,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,2587.5,CRETACEOUS,SANDSTONE,120.0,25.5,,252.0,841.2604042806183,0.5,,
MESSOYAKH,DOLGAN (POKUR),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,69.185,82.4861,NORILSKGAZPROM,ONSHORE,METHANE HYDRATE,REJUVENATING,INTRACRATONIC,826.8,CRETACEOUS,SANDSTONE,738.0,19.8,25.0,125.0,,,,
MIDALE,CHARLES (MIDALE BEDS),CANADA,NORTH AMERICA,WILLISTON,COMPRESSION,49.4701,-103.4717,APACHE,ONSHORE,OIL,SECOND PLATEAU PRODUTION,INTRACRATONIC,1320.0,CARBONIFEROUS,DOLOMITE,19.2,9.6,20.0,3.5,881.619937694704,0.42,,
MIDGARD,FANGST,NORWAY,EUROPE,MID-NORWAY SHELF,EXTENSION,65.0789,7.4898,STATOILHYDRO,OFFSHORE,GAS,DEVELOPING,RIFT,1944.0,JURASSIC,SANDSTONE,137.7,114.0,27.5,5625.0,806.2678062678062,0.16,0.52,0.72
MILK RIVER GAS POOL,MILK RIVER,CANADA,NORTH AMERICA,WILLISTON,COMPRESSION,50.0688,-111.1423,NUMEROUS,ONSHORE,GAS,UNKNOWN,INTRACRATONIC,295.2,CRETACEOUS,SILTSTONE,75.0,6.0,14.0,1.0,,,,0.65
MILLS RANCH,HUNTON (CHIMNEY HILL-HENRYHOUSE),USA,NORTH AMERICA,ANADARKO,COMPRESSION,35.3676,-100.0793,CHEVRON,ONSHORE,GAS,NEARLY DEPLETED,THRUST,5966.4,SILURIAN,DOLOMITE,279.0,28.2,6.0,7.0,,,,
MINAS,BEKASAP,INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION,0.7675,101.4334,CALTEX PACIFIC INDONESIA,ONSHORE,OIL,MATURE PRODUCTION,INVERSION,588.0,NEOGENE,SANDSTONE,180.0,60.0,26.0,500.0,844.776119402985,0.55,,
MISKAR,ABIOD,TUNISIA,AFRICA,PELAGIAN,,34.3856,11.8944,BG,OFFSHORE,GAS,DEVELOPING,RIFT,2763.9,CRETACEOUS,CHALK,73.2,57.9,,1.0,,,,0.4
MISKAR,ALEG (BIRENO),TUNISIA,AFRICA,PELAGIAN,INVERSION,34.3856,11.8944,BG,OFFSHORE,GAS-CONDENSATE,DEVELOPING,RIFT,3210.6,CRETACEOUS,CHALKY LIMESTONE,38.4,14.7,13.0,0.1,,,,0.4
MISKAR,ALEG (R1 INFERIOR),TUNISIA,AFRICA,PELAGIAN,INVERSION,34.3856,11.8944,BG,OFFSHORE,GAS,DEVELOPING,RIFT,2990.1,CRETACEOUS,LIMESTONE,25.5,22.5,14.0,5.0,,,,0.4
MISKAR,ALEG (R1 SUPERIOR),TUNISIA,AFRICA,PELAGIAN,INVERSION,34.3856,11.8944,BG,OFFSHORE,GAS,DEVELOPING,RIFT,2916.3,CRETACEOUS,CHALKY LIMESTONE,66.9,7.8,11.0,0.1,,,,0.4
MITSUE,WATT MOUNTAIN (GILWOOD A),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.1141,-114.4722,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1710.0,DEVONIAN,SANDSTONE,24.0,3.9,13.0,230.0,820.2898550724638,0.46,,
MOONIE,PRECIPICE,AUSTRALIA,FAR EAST,SURAT,,-27.734,150.21,SANTOS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1706.4,JURASSIC,SANDSTONE,75.0,13.8,,460.0,806.2678062678062,0.41,,
MOXA ARCH-LA BARGE,FRONTIER (TIP TOP FIELD),USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION,41.6119,-110.2,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,2100.0,CRETACEOUS,SANDSTONE,330.0,27.0,13.0,0.1,766.9376693766937,,,
MURAVLENKOV,MEGION,RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,63.99,74.95,SIBNEFT (MURAVLENKOVSKNEFT),ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2519.7,CRETACEOUS,SANDSTONE,442.8,30.6,18.5,45.0,854.9848942598187,0.28,,
MURCHISON,BRENT,UK /NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,61.3833,1.75,CNR,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,2696.4,JURASSIC,SANDSTONE,127.5,90.0,22.0,750.0,839.7626112759643,0.43,,
NASSER,ZELTEN,LIBYA,AFRICA,SIRT,EXTENSION,28.9056,19.7983,LNOC,ONSHORE,OIL,MATURE PRODUCTION,RIFT,1629.0,PALEOGENE,LIMESTONE,90.0,36.0,22.0,1500.0,829.9120234604105,,,
NATIH,NATIH,OMAN,MIDDLE EAST,FAHUD SALT,COMPRESSION,22.4333,56.7167,PDO,ONSHORE,OIL,MATURE PRODUCTION,SALT,729.9,CRETACEOUS,CHALKY LIMESTONE,397.2,131.7,19.0,2.6,876.1609907120743,0.2,,
NATUNA L,TERUMBU,INDONESIA,FAR EAST,NATUNA EAST/SARAWAK,EXTENSION,5.4658,109.7833,EXXONMOBIL,OFFSHORE,CARBON DIOXIDE,UNDEVELOPED,BACKARC,2465.4,NEOGENE,LIMESTONE,1600.5,892.8,15.0,100.0,,,,0.75
NEWBURG,CHARLES,USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.7502,-100.9196,AMERADA HESS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,993.0,CARBONIFEROUS,DOLOMITIC LIMESTONE,36.0,5.3,10.0,2.6,842.2619047619047,0.33,,
NEWBURG,SPEARFISH,USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.7502,-100.9196,AMERADA HESS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,993.0,TRIASSIC,SANDSTONE,36.0,5.3,14.0,13.5,842.2619047619047,0.33,,
NIAGARAN REEF TREND,NIAGARA (GUELPH),USA,NORTH AMERICA,MICHIGAN,STRIKE-SLIP,42.6984,-82.5399,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,780.0,SILURIAN,DOLOMITIC LIMESTONE,120.0,30.0,8.0,8.0,779.6143250688706,0.21,,0.82
NINIAN,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.8333,1.4333,CNR,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,2544.0,JURASSIC,SANDSTONE,90.0,60.0,20.0,500.0,844.776119402985,0.48,,
NIPISI,WATT MOUNTAIN (GILWOOD A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.8199,-115.1317,BP,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1650.0,DEVONIAN,SANDSTONE,30.0,4.2,13.5,250.0,819.8146002317498,0.47,,
NORMAN WELLS,RAMPARTS (KEE SCARP),CANADA,NORTH AMERICA,WESTERN CANADA,,65.2629,-126.8559,EXXONMOBIL,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,344.4,DEVONIAN,CHALKY LIMESTONE,127.5,72.9,,4.0,834.8082595870206,0.4,,
NORTH ANDERSON RANCH,HUECO,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.9752,-103.7292,GULF OIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2880.0,PERMIAN,LIMESTONE,36.0,10.5,9.0,124.0,829.9120234604105,,,
NORTH BURBANK,BURBANK,USA,NORTH AMERICA,CHEROKEE,INVERSION,36.7297,-96.7333,CONOCOPHILLIPS,ONSHORE,OIL,UNKNOWN,FORELAND,906.0,CARBONIFEROUS,SANDSTONE,27.0,14.1,16.8,50.0,827.485380116959,0.46,,
NORTH HAYNESVILLE,SMACKOVER,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,32.982,-93.1071,MARATHON /DNS,ONSHORE,OIL,UNKNOWN,SALT,3668.7,JURASSIC,LIMESTONE,75.0,11.4,11.0,61.0,771.1171662125341,0.5,,
NORTH ROBERTSON,CLEARFORK-GLORIETA,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.66,-102.6875,TOTAL,ONSHORE,OIL,SECOND PLATEAU PRODUTION,FORELAND,1740.0,PERMIAN,DOLOMITE,390.0,120.0,4.0,0.4,844.776119402985,0.15,,
NORTH SABINE LAKE,LOWER HACKBERRY (FRIO),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,29.9587,-93.7991,HILLCORP ENERGY,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,DELTA,3282.0,PALEOGENE,SHALY SANDSTONE,79.5,39.0,26.0,425.0,758.7131367292225,,,
NORTH WARD-ESTES,YATES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.5777,-102.9918,WHITING OIL and GAS,ONSHORE,OIL,REJUVENATING,FORELAND,780.0,PERMIAN,SILTSTONE,90.0,30.0,11.0,16.0,839.7626112759643,0.38,,
NORTHEAST CEDARDALE,HUNTON (HARAGAN),USA,NORTH AMERICA,ANADARKO,COMPRESSION,36.4227,-98.9165,LOUIS DREYFUS NATURAL GAS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,2482.5,DEVONIAN,DOLOMITE,75.0,11.4,16.0,20.0,746.7018469656992,,,
NUMBI,VERMELHA,ANGOLA,AFRICA,CONGO,GRAVITY,-5.3099,11.9154,CHEVRON,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE MARGIN,919.5,CRETACEOUS,SANDSTONE,135.0,45.0,24.0,500.0,854.9848942598187,0.46,,
OCTOBER,NUBIA (MAIN FIELD AREA),EGYPT,AFRICA,GULF OF SUEZ,EXTENSION,28.8367,33.0859,GUPCO,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,3116.4,PALEOZOIC-CRETACEOUS,SANDSTONE,690.0,135.0,17.0,236.0,892.7444794952681,0.45,,
ODOPTU-MORE,LOWER NUTOVO (XII-XX IV),RUSSIA,FORMER SOVIET UNION,NORTH SAKHALIN,STRIKE-SLIP,53.1333,143.4667,EXXONMOBIL /SMNG,OFFSHORE,OIL,DEVELOPING,INVERSION,1056.0,NEOGENE,SANDSTONE,738.0,66.0,20.0,45.0,839.7626112759643,0.31,,0.9
ORENBURG,UNNAMED,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION,51.6289,54.8161,ORENBURGGAZPROM,ONSHORE,GAS,UNKNOWN,SUB-SALT,1269.6,CARBONIFEROUS-PERMIAN,LIMESTONE,408.0,168.9,11.0,2.0,839.7626112759643,,,
ORIBI,14A SEQUENCE,SOUTH AFRICA,AFRICA,BREDASDORP,EXTENSION,-35.233000000000004,21.51,PETROSA,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,2191.8,CRETACEOUS,SANDSTONE,34.5,29.4,18.0,500.0,815.5619596541786,0.49,,
ORMEN LANGE,JORSALFARE-VALE (EGGA),NORWAY,EUROPE,MID-NORWAY SHELF,INVERSION,63.541,5.3375,STATOILHYDRO,OFFSHORE,GAS,DEVELOPING,INVERSION,1734.0,CRETACEOUS-PALEOGENE,SANDSTONE,114.0,34.5,29.0,1000.0,,,,0.78
OROCUAL,CARAPITA,VENEZUELA,LATIN AMERICA,EASTERN VENEZUELA,COMPRESSION,9.8667,-63.3333,PDVSA,ONSHORE,OIL,CONTINUING DEVELOPMENT,THRUST,3045.0,NEOGENE,SANDSTONE,90.0,48.0,13.0,35.0,849.8498498498498,0.34,,
OROCUAL,SAN JUAN,VENEZUELA,LATIN AMERICA,EASTERN VENEZUELA,COMPRESSION,9.8667,-63.3333,PDVSA,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,3765.0,CRETACEOUS-PALEOGENE,SANDSTONE,300.0,195.0,6.0,5.0,839.7626112759643,,,
PALM VALLEY,PACOOTA AND STAIRWAY,AUSTRALIA,FAR EAST,AMADEUS,COMPRESSION,-24.0003,132.7698,MAGELLAN PETROLEUM,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,1696.8,ORDOVICIAN,SANDSTONE,690.0,52.2,4.0,0.0,,,,0.88
PAMPO,MACAE (QUISSAMA),BRAZIL,LATIN AMERICA,CAMPOS,GRAVITY,-22.788,-40.7674,PETROBRAS,OFFSHORE,OIL,DECLINING PRODUCTION,SALT,1734.3,CRETACEOUS,LIMESTONE,195.0,84.0,25.0,800.0,933.9933993399341,0.19,,
PANNA,BASSEIN (ZONE B),INDIA,FAR EAST,BOMBAY OFFSHORE,,19.297,71.979,ONGC /BG /RELIANCE,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,1663.8,PALEOGENE,LIMESTONE,255.9,24.6,,10.0,834.8082595870206,0.2,,
PARENTIS,UNNAMED,FRANCE,EUROPE,AQUITAINE,COMPRESSION,44.3367,-1.0959,VERMILION,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,FORELAND,1965.0,CRETACEOUS,DOLOMITE,390.0,60.0,11.0,10.0,860.1823708206687,0.39,,
PATRICK DRAW,ALMOND,USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION,41.6148,-108.5007,ANADARKO,ONSHORE,OIL,REJUVENATING,FORELAND,1290.0,CRETACEOUS,SANDSTONE,21.0,6.0,20.0,36.0,815.5619596541786,0.58,,
PEACE RIVER,GETHING-OSTRACOD-BLUESKY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,56.2683,-117.2815,SHELL,ONSHORE,BITUMEN,CONTINUING DEVELOPMENT,FORELAND,450.0,CRETACEOUS,SANDSTONE,30.0,24.6,28.0,440.0,1017.985611510791,,,
PECOS SLOPE,ABO,USA,NORTH AMERICA,PERMIAN,COMPRESSION,33.5606,-104.2916,YATES PETROLEUM AND OTHERS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,682.5,PERMIAN,SANDSTONE,97.5,9.0,13.0,0.0,764.8648648648649,,,0.77
PEEJAY,HALFWAY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,56.8646,-120.4777,CANADIAN NATURAL RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1140.0,TRIASSIC,SANDSTONE,25.5,3.8,12.0,120.0,844.776119402985,0.38,,
PEMBINA,CARDIUM (PEMBINA RIVER),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.1361,-115.1188,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1200.0,CRETACEOUS,SANDSTONE,15.0,5.8,13.9,24.0,839.7626112759643,0.18,,
PENAL-BARRACKPORE,HERRERA,TRINIDAD AND TOBAGO,LATIN AMERICA,EASTERN VENEZUELA,STRIKE-SLIP,10.1833,-61.4,PETROTRIN,ONSHORE,OIL,NEARLY DEPLETED,THRUST,630.0,NEOGENE,SANDSTONE,600.0,300.0,25.0,100.0,904.1533546325878,0.14,,
PENWELL,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.7333,-102.5625,CHEVRON /CONOCOPHILLIPS /TOTAL,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,975.0,PERMIAN,DOLOMITE,120.0,35.4,11.0,3.0,829.9120234604105,0.4,,
PIPER,PIPER-SGIATH,UK,EUROPE,NORTH SEA CENTRAL,,58.4589,0.2708,TOTAL,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,2032.8,JURASSIC,SANDSTONE,90.0,60.0,,4000.0,839.7626112759643,0.8,,
POKACHEV,MEGION (BV8),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,61.583,75.1833,SURGUTNEFTEGAS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2352.3,CRETACEOUS,SANDSTONE,22.5,7.2,20.0,130.0,865.4434250764525,0.55,,
POKACHEV,VARTOV (BV6),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,61.583,75.1833,SURGUTNEFTEGAS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2258.7,CRETACEOUS,SANDSTONE,15.6,5.7,20.0,170.0,865.4434250764525,0.52,,
POKACHEV,VARTOV-ALYM (AV1-2),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,61.583,75.1833,SURGUTNEFTEGAS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,1809.0,CRETACEOUS,SANDSTONE,20.7,8.1,22.0,108.0,865.4434250764525,0.47,,
PORT ACRES,LOWER HACKBERRY (FRIO),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,29.88,-94.0,PAN AMERICAN PETROLEUM,ONSHORE,GAS-CONDENSATE,ABANDONED,DELTA,3112.8,PALEOGENE,SHALY SANDSTONE,120.0,7.8,29.0,275.0,777.8999450247388,,,0.81
PRIOB,ACHIMOV-VARTOV,RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,61.13,70.46,YUGANSKNEFTEGAS /SIBNEFT /SURGUTNEFTEGAS,ONSHORE,OIL,CONTINUING DEVELOPMENT,INTRACRATONIC,2303.1,CRETACEOUS,SANDSTONE,390.0,42.0,19.0,3.6,870.7692307692307,0.29,,
PRIRAZLOM,UNNAMED (UNITS I-II),RUSSIA,FORMER SOVIET UNION,TIMAN-PECHORA,COMPRESSION,69.2833,57.25,SERVMORNEFTEGAZ,OFFSHORE,OIL,UNDEVELOPED,INVERSION,2258.7,CARBONIFEROUS-PERMIAN,LIMESTONE,198.0,45.0,19.0,120.0,909.967845659164,0.34,,
PROVOST,VIKING,CANADA,NORTH AMERICA,WESTERN CANADA,,52.2022,-110.3508,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,720.0,CRETACEOUS,SANDSTONE,21.0,1.7,,82.0,,,,0.7
PROVOST,VIKING (C POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,52.2022,-110.3508,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,885.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,21.0,1.2,25.0,170.0,854.9848942598187,0.13,,
QARUN,LOWER BAHARIYA,EGYPT,AFRICA,GINDI,INVERSION,29.783,30.529,QARUN PETROLEUM,ONSHORE,OIL,DEVELOPING,INVERSION,2535.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,43.5,13.5,18.0,700.0,825.072886297376,0.35,,
QATIF,ARAB C,SAUDI ARABIA,MIDDLE EAST,THE GULF,COMPRESSION,26.5333,49.975,SAUDI ARAMCO,ONSHORE-OFFSHORE,OIL,TEMPORARILY SHUT-IN,FORELAND,2070.0,JURASSIC,LIMESTONE,30.0,24.3,18.0,202.0,870.7692307692307,0.45,,
QATIF,ARAB D,SAUDI ARABIA,MIDDLE EAST,THE GULF,COMPRESSION,26.5333,49.975,SAUDI ARAMCO,ONSHORE-OFFSHORE,OIL,TEMPORARILY SHUT-IN,FORELAND,2130.0,JURASSIC,LIMESTONE,30.0,24.9,15.0,310.0,834.8082595870206,0.45,,
QUIRIQUIRE,QUIRIQUIRE,VENEZUELA,LATIN AMERICA,EASTERN VENEZUELA,COMPRESSION,10.0,-63.1667,REPSOL YPF /MAXUS,ONSHORE,OIL,REJUVENATING,FORELAND,483.9,NEOGENE,SANDSTONE,480.0,69.0,20.0,450.0,946.4882943143813,0.2,,
QUITMAN,PALUXY,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,32.8253,-95.4951,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,SALT,1816.8,CRETACEOUS,SANDSTONE,120.0,10.5,22.0,600.0,821.7189314750291,0.5,,
