experience,job_description,job_desig,job_type,key_skills,location,salary
2-5 yrs,,Security Information & Event Management (siem) Platform Operations,,"Information security, SOC, Outsourcing, SIEM, infrastructure security...",Bengaluru,6to10
3-5 yrs,,Research Associate APIs Regulatory Affairs -  DRA API  US Market,,"dra api, dra dmf, research associate dra api...",Mumbai,0to3
7-12 yrs,Ensure all required domain renewal done on time;should be ...,IT Procurement & MIS Manager,,"Networking, IT Procurement, Purchase, Vendor Analysis, Budget Preparation...",Mumbai,15to25
0-3 yrs,Graduate Qualifications: Any Graduates or undergraduate with 6 months exp;Graduate Qualifications: Any ...,Hiring For Email/chat Support/uk Shift SAL UPTO 3.5lpa,,"international bpo, customer service, uk shift, international voice, ites...",Bengaluru,0to3
5-10 yrs,- Experience in machine learning/ deep learning/ text mining / computer vision is ...,Machine Learning Researcher - KPO,analytics,"deep learning, machine learning, text mining, computer vision, analytics...","Delhi NCR, Bengaluru, Hyderabad",25to50
2-3 yrs,,PPC Specialist,,PPC Specialist,Mumbai,0to3
3-7 yrs,- 2-6 year experience in the field of Cat modeling;- Candidate must be able to work with little direct ...,Lead - CAT Risk Analyst - AIR Model Primarily,,"risk analysis, risk assessment, risk modeling, process enhancement...","Delhi NCR, Gurgaon",10to15
5-7 yrs,We are looking for professionals with application administration and configuration management experience ...,Executive - Finance Nlp/nlg - Financial Management Group,,"Accounting, Cfo, Taxation, Finance, Variance Analysis, Forecasting, Fin...",Gurgaon,6to10
2-5 yrs,2-5 years of experience in direct Tax;Skills ...,Am/senior Direct Tax,,"Corporate Taxation, Direct Tax, Ca, Law, Impact Analysis...",Mumbai,15to25
8-11 yrs,"- 8-11 years in quantitative analysis experience, including building AI/ML models;- Front end client ...",Manager - Human Capital Analytics/ Talent Analytics - Consulting Firm,Analytics,"NLP, Neural Networks, Machine Learning, Data Mining...","Bengaluru, Gurgaon, Gurugram",25to50
3-8 yrs,- Experience in developing multithreaded applications;- 3-8 Years- experience in developing Computer ...,Senior Computer Vision Engineer - Opencv,,"C++, Opencv, Computer Vision, Image Processing, Deep Learning, Java, Python...",Bengaluru,15to25
0-0 yrs,,"Medical Coding Job For Biology ,botany,zoology Graduates in Chennai",,"biology, zoology, botany, medical coding, medical coder...","Chennai, Salem, Trichy, Coimbatore, Vellore, Madurai",0to3
2-4 yrs,*Should have good analytical skill;We have urgent requirement for Corporate HR Recruiter(Bangalore) both ...,"Corporate Recruiter Opportunity at Ascenthr, Bangalore- Walk IN",,"recruitment, corporate hr, Non IT Recruiter",Bengaluru,0to3
0-5 yrs,"Experience of working on LEGO Educational Kits / Robotics / Circuit boards, Coding & Programming, ...",Steam Facilitator/robotics (fresher Engineer with a Flair for Teaching,,"science, mathematics, strong analytical skills, verbal communication...",Mumbai,0to3
3-5 yrs,Chartered Accountancy/MBA degree from a premiere institute with 3-5 years of post-qualification ...,TAS - IA- Senior Analyst,analytics,"analytics, financial modelling, corporate finance, qualitative analysis...",Gurgaon,6to10
4-6 yrs,,Test Lead _performance Testing,,"Linux, Python, Monitoring, JIRA, Powershell, Analytical, Test design...",Bengaluru,6to10
3-5 yrs,,Business Intelligence Analyst I,,"css, ajax, javascript, jquery, html, stored procedures, web technologies...",Pune,6to10
3-8 yrs,- Excellent credit skills demonstrated through prior relevant experience (5+ years) working as a ...,Analyst - Fixed Income/treasury,,"Bloomberg, Financial Modelling, Research Analysis, Finance, Equity, Capital...","Delhi NCR, Mumbai",10to15
8-12 yrs,Consultative Selling expertise with hands-on experience in market making / demand creation selling end ...,Business Development Manager - Police / Forensic Lab,,"business development management, sales, Cyber Security, Forensic...","Delhi NCR, Mumbai",10to15
0-2 yrs,"In this role, you will be required to understand an operational process, navigate various data ...",Financial Data Associate (deal Documents Support),,"Finance, Transaction Services, Credit Monitoring, Subject Matter Expertise",Delhi NCR,3to6
0-0 yrs,Logical thinking and good decision-making abilities;Escalate queries based on sample documents as and ...,Hiring : LLB / LLM (law): Graduates/ Interns /students- Walkin,,"Legal Process Outsourcing, Business Solutions, Business Services...",Mumbai,3to6
5-8 yrs,,Hybris Business Analyst,,"Business Analysis, Consulting, Solution Development, Functional Testing",Bengaluru,0to3
3-8 yrs,,SEO/SMO Expert,,"seo, ppc, link building, smo, accounts, social media, google adwords...",Mumbai,6to10
3-8 yrs,"- 1 to 3 years experience doing responsible actuarial work;- Perform research, experience studies and ...",Senior Actuarial Analyst - Insurance,,"Finance, Excel, Communication Skills, Workers Compensation...",Bengaluru,15to25
3-5 yrs,  Candidates from Tier 1 college only apply. ;Should be excellent in MS-Excel;Should have ...,Marketing Analyst II Traveltriangle,,"marketing analysis, marketing analyst, product development, sql...",Gurgaon,6to10
9-14 yrs,- A minimum of three years prior experience in a similar role;- A strong academic background from a top ...,Head - Trading - Market Making/high Frequency Trading - IIT/ NIT/ BITS,,"High Frequency Trading, Trading, HFT, Quantitative Trading, Quant...",Anywhere India,25to50
0-2 yrs,,Walk In Interview Java Developer,,"advanced java, analytical, Core Java Developer, core java / j2ee developer,...",Pune,0to3
2-6 yrs,,Sr. SEO Executive - Immediate Hiring - Gurgaon,,"seo executive, senior seo executive, smo, seo, seo analyst, seo lead...",Gurgaon,6to10
15-20 yrs,- Champions analytics and improvement in customer shopping ...,Head - Consumer Insights Marketing - Cement Firm,analytics,"Marketing, Consumer Insights, Strategy, Market Intelligence...",Mumbai,25to50
4-8 yrs,"Topics such as in-venue experience, hyper personalization, mobility are driving lot of innovation ...",Senior AEM Developer (aem- Adobe Experience Manager),,"AEM, AEM6.0, AEM6.1, adobe experience manager, Adobe CQ, OSBI",Gurgaon,10to15
1-3 yrs,,KPO / BPO / Medical Billing Process / Process Associates (US Shift),,"kpo, us shift, mnc, medical billing, us healthcare, accounts payable...",Ahmedabad,0to3
5-10 yrs,- Experience and success in recruiting and retaining a high performance sales team and a demonstrated ...,General Manager - Sales & Marketing - Building Material,,"Sales Management, Marketing, IIM, Building Material, Project Management...",Hyderabad,15to25
0-2 yrs,0-2 years general business experience with an exposure to international work environment would be an ...,ASA_ Associate_staff 3 / 2 / 1,,"project management, financial analysis, data compliance, billings...",Bengaluru,0to3
2-5 yrs,Experience in working on Seq2Seq models and word embeddings;All employees must be legally authorized to ...,Lead Data Analyst,,"Python, Data analysis, Computer science, Machine learning, Forecasting...",Bengaluru,6to10
2-4 yrs,2  -  4 years of experience of data engineering and Big Data systems;Proficient understanding of ...,Data Engineer,Analytics,"SQL, Javascript, Automation, Python, Ruby, Analytics, Machine learning...",Bengaluru,3to6
2-6 yrs,,R&D Officer / Sr.officer,,"r&d, research analysis, dies, qc, officer, clinical research, api...","Vapi, Valsad, Daman & Diu",0to3
9-12 yrs,,Analyst - Salesforce CRM,,"Analyst - Salesforce CRM, Solution Design, E2E, CRM Consulting...",Bengaluru,15to25
1-6 yrs,- MUST grow your knowledge in the field of data science and get    familiar with Data science keywords ...,Project Manager | Project Coordinator | HR Manager,,"Project Management, Project Coordination, Project Planning...",Noida(Sector-8 Noida),0to3
0-3 yrs,,Loan Officer ( North),,"Loan officer, portfolio administration, financial analysis, acquisition","Noida, Delhi",0to3
0-5 yrs,Candidate should possess good communication skills;Graduation should have at least 15years (10+2+3/4 ...,"Opening in Google Adword, Digital Marketing Analyst Profile Salary 35k",,"marketing analysis, digital marketing, non voice, voice, international bpo,...","Delhi NCR, Chandigarh, Delhi, Faridabad, Gurgaon, Jaipur, Lucknow, Mohali, Noida",0to3
3-6 yrs,v) Experience in managing multi-crore marketing budget;xiv) Experience working in a fast-paced and ...,Manager / Senior Manager - Marketing,,"marketing budget, brand building, marketing communication, campaigns...",Bengaluru,10to15
0-2 yrs,You should have strong analytical skills & passion for the stock market;Any candidate who has passed ...,Opening  for a Research Analyst,,"Equity Research, Fundamental Research, Excel, Stock Market...",Kolkata,0to3
2-6 yrs,,Looking for Servicenow Developer for our Client-gurgaon-c2h,,"Servicenow Developer, Servicenow",Gurgaon,0to3
5-10 yrs,- 5-10 years relevant work experience;- Experience working with SQL and NoSQ ...,Java Analytics Engineer - Webservices/cloud Computing,Analytics,"Java, Rest, Elastic Search, Bash, Openstack, SQL, Spark, Python, AWS...",Bengaluru,15to25
8-12 yrs,,Opening for Business Development Manager,,"Pitch Books, Business Development Management, Strategic Partnerships...",Bengaluru,15to25
10-15 yrs,- To create engagement in digital marketing plans to ensure maximum brand visibility on platform ...,Head - Ecommerce - Fmcg/personal Care/food,,"sales, marketing campaigns, fmcg, personal care, promotional campaigns...",Anywherein India,15to25
2-6 yrs,,Opening for Lab Assistant (officer),,"labeling, laboratory material, procurement, instrumental analysis...",Ahmedabad,0to3
2-5 yrs,* Minimum 5 years or more technical delivery experience in SAP;* Minimum 3 cycles of technical delivery ...,Urgent Opening for SAP Basis Consultants,,"NetWeaver, SAP Upgrade, BW, SAP ECC, Sap Hana, SAP Security, SAP Basis...",Pune(Shivaji Nagar),3to6
3-8 yrs,Hands-on experience applying machine learning techniques to solve real-world problems;Proficient with ...,Data Scientist (multi Level),,"Deep Learning, Spark, Java, Machine Learning, SCALA, Python...",Bengaluru,25to50
10-16 yrs,- 8+ years post CA/ CPA /MBA (Finance) from a reputed B-school with relevant finance experience and ...,Senior Manager/avp - Business Finance - Fmcg/ecommerce,,"Business Finance, Financial Reporting, Financial Planning, Forecasting...",Bengaluru,25to50
15-20 yrs,"-Navigate the market and developing key growth sales strategies, tactics and action plans to achieve ...",Director - Sales & Marketing,,"budgeting, variance analysis, forecasting, business development, marketing,...",Pune,25to50
1-3 yrs,"  Responsibilities:     Responsible for creating content for website, blogs, case ...",Content Writer,Analytics,"SEO, Digital Marketing, Search Engine Marketing, Google Analytics, SMO...",Noida(Sector-62 Noida),3to6
10-15 yrs,"We invite people to join and experience a workplace that supports diversity,  encourages employee ...",Manager,,"Taxation, Billing, Corporate taxation, Assurance, Consulting, Data analysis...",Bengaluru,10to15
6-8 yrs,Experience on cognos 10 reporting;6 to 8 years of strong experience in reporting domain with experience ...,Applications Development Intermediate Programmer Analyst,,"SQL, Data Warehousing, Data Modeling, Data Quality, PLSQL, PL...",Chennai,6to10
0-5 yrs,,"Wanted Fresher - Pharma, Medical and Life Science Graduates",,"clinical research, biotechnology, microbiology, zoology, biomedical, bhms...","Bengaluru, Chennai, Hyderabad",0to3
2-5 yrs,The candidate with excellent written and verbal communication skills should be an individual performer ...,Digital Marketing Lead,analytics,"seo, digital marketing, google analytics, sem, keyword research...",Bengaluru(Electronic City+1),3to6
7-12 yrs,"- MBA/CA with atleast 8+ years of experience in a retail bank or retail NBFC, Indian or foreign Nice-to ...",Credit Risk Head - Fintech,,"Banking, Credit Underwriting, Data Science, Credit Risk, Risk Management...",Mumbai,15to25
10-15 yrs,4) Experience- 10- 15 years with role managing a large Business acquisition in concept / solution sales ...,Business Head - Loyalty Solutions - South,,"Business Development, Event Marketing, Solution Sales, Market Intelligence,...",Bengaluru,25to50
12-18 yrs,,"Director, Medical Coding Training",,"Medical Coding, ICD - 10, US Healthcare, RCM, Training Needs...",Hyderabad,15to25
1-5 yrs,"Dear Candidate ,  We are looking candidates for Modular Kitchen sales   -	Experience in ...",Urgent Opening for Modular Kitchen Sales - Pune Location,,"Modular Kitchen, Design, Sales, Furniture sales, modular sales...",Pune,0to3
8-12 yrs,- 8 to 12 years- industry experience (Automobile / Consultant / IT / tech industry);automotive ...,Product Manager,,"Automotive, Project Management, Telematics, Primary, Secondary Research...",Bengaluru,25to50
8-13 yrs,- Should keep oneself updated with the latest technology trends that might disrupt existing technical ...,Senior Chief Manager - IT - Web & Mobile Platforms,,"Android, IOS, Software Development, Vendor Management, Business Operations,...",Mumbai,15to25
4-8 yrs,- Extensive experience using SAS/ R/ Python (4-6 years) to analyse and solve business problems;- 4+year ...,SBA/ AM/ Manager/ Senior Manager - Analytics - Group Disability,Analytics,"Predictive Modeling, Logistic Regression, R, SAS, Predictive Analytics...",Gurgaon,15to25
0-3 yrs,"Job description:-   AR Follow Up:- Candidate will be responsible to analyze patients account, ...",Urgent Opening for Medical Billing Process,,"BPO, Call Center, Domestic BPO, Voice Process, International BPO...",Mohali,3to6
3-6 yrs,Translate concepts into effective user experience architectures;Keen to develop the better knowledge of ...,UX Designer,,"JQuery Mobile, Html5, Cordova, Karma, IOS, UX, Android, JSON...",Chennai,6to10
0-3 yrs,  Conduct global primary and secondary research and preparing reports comprising of market ...,Research Analyst,ANALYTICS,"secondary research, business research, market sizing, research analysis...",Noida(Sector-8 Noida),0to3
10-17 yrs,"- Outstanding analytical skills, strong experience interpreting test results & drawing conclusions ...",Principal Consultant - SAP P2P Module,,"SAP Implementation, Procurement, Process Mapping, Six Sigma...",Bengaluru,25to50
3-6 yrs,This disruptive startup was founded in the Singapore over a year ago by 2 veterans of the real estate ...,SEO Manager | Disruptive Co-living Startup | Gurgaon,,"Web Technologies, SEO, Search Engine Optimisation, SEM...","Gurgaon, Delhi, Noida",6to10
6-8 yrs,"- 6-8 years- experience in BI Tools like Cognos and BO;- Experience in SQL development, analysis and ...",Cognos Lead - Business Objects/business Intelligence,,"sql development, data warehousing, business intelligence, business objects,...",Gurgaon,15to25
2-5 yrs,Creating Job profiles for new positions & reviewing old profiles as per requirement;Providing ...,Senior HR Executive,,"Senior HR, Recruitment, Joining Formalities, Exit Formalities, Induction...",Navi Mumbai,3to6
0-1 yrs,,Hiring For Content Writing / Google Process / Salary UPTO 20k,,"Content, Content Writing, Content Editing, Content Writer, Content Editor...","Gurgaon, Delhi NCR",0to3
2-3 yrs,2 to 3 years relevant experience in database development;Experience with the following technologies ...,Software Engineer (database Developer),Analytics,"Database Development, sql developer, Postgresql",Bengaluru(Whitefield),6to10
5-10 yrs,"3  11 years of experience in Tandem development on NSK platform;The preferred domain is Cards, Banking ...",Tandem Developer - Professional / Analyst / Lead,,"tandem, tacl, tal, base24, banking, eft, mastercard, epoc, base 24, Connex,...","Pune(Viman Nagar), Delhi NCR(Sector-62 Noida)",15to25
2-7 yrs,,"Safety Officer,",,"safety officer activities, chemical, process industry, fire fighting...",Nagpur,0to3
8-10 yrs,- A genuine interest and experience of working within projects;- Store/retail working experience is an ...,SAP Accountant - Fi/co/sd Modules,,"Finance, Accounting, Auditing, SAP FICO, Financial Control, Co, SAP FI...","Sweden, EU",10to15
3-5 yrs,"If required, acts as a Project Manager for each deal to ensure the final solution is delivered towards ...",Customer Success Head,,"SEO, Sales Process, Content Marketing, Social Media Optimization...",Bengaluru,15to25
1-3 yrs,,Microsoft Modern Data Platform,Analytics,"SQL, Business intelligence, microsoft, Coding, Analytics, Business process,...",Gurgaon,3to6
11-15 yrs,"You will not only be immersed in the technology quickly, but you will also be part of the next ...",JAVA Developer / Sr. JAVA Developer / Lead JAVA Developer,,"java, java / j2ee, j2ee, ejb, spring, hibernate, jdbc, sql...",Pune,25to50
3-4 yrs,"Data transformation into required formats;Programming capability preferably in Python, R;Understanding ...",Data Analyst,,"Data Extraction, Data Analysis, SQL, Data Quality, Tableau, Quality Check",Gurgaon,6to10
10-18 yrs,,Urgent Opening for SAP  Basis Project Manager,,"NetWeaver, SAP Upgrade, BW, Sap Hana, SAP ECC, SAP Security, SAP Basis...",Pune(Shivaji Nagar),25to50
0-2 yrs,The salary is negotiable as per knowledge and experience in the personal ...,QC Officer - Job Opportunity with well Known Pharma Industry,,"finished products, qc, raw material, water analysis, packing material...",Vadodara,0to3
3-6 yrs,- Should understand manufacturing processes for the desired packaging materials;- Candidate should have ...,Assistant Manager - Procurement - Packaging Products,,"vendor audit, quality assurance, category management, cost management...",Bengaluru,6to10
2-7 yrs,Experience in automated testing using tools;Experience in testing web based applications;At least 2.5 ...,"Test Analyst - Capital Market Domain., with Product MNC in Mumbai",,"ms sql, java, oracle, uml, unix, test cases, test plan, test strategy...","Mumbai, Mumbai Suburbs",15to25
5-10 yrs,,Business System Analyst | Apply Under PR Visa For Canada | Australia,analytics,"business analyst, manager business analysis, business analytics...","Australia, Canada",15to25
2-5 yrs,"Prior experience in working with clinical stage pharmaceutical company, working in investigator ...","Consultant Clinical Operations (cro), Medical Regulatory Writer",,"Project Management, Clinical Operations, Client Management...",Pune,10to15
0-0 yrs,Should have good communications;Should have good knowledge on Excel;Should be good in typing;Should have ...,Walk in for Fresher,,"Payroll, Excel, Mba, MCOM, Bcom",Bengaluru,0to3
2-4 yrs,,Sales Executive/senior Sales Executive,,"market research, competitive analysis, product presentation...",Lucknow,3to6
3-8 yrs,BS in computer science or a related field is preferred;3+ years experience working in a web development ...,Marketing Web Developer,,"Photoshop, Illustrator, SEO, HTML, Inbound Marketing, Hubspot...",Mumbai,10to15
4-7 yrs,This position shall manage a team so leadership qualities and getting work done with strong business ...,Associate Vice President - Analytics Consulting/management Consulting,Analytics,"advanced analytics, team management, site management, project planning...","Delhi NCR, Gurgaon",6to10
2-3 yrs,Should be well versed with excel/data analysis & follow ups;Must have previous experience in handing ...,Assistant Category Manager - Ecommerce,,"online sales, category management, e - commerce, vendor management...",Mumbai,6to10
4-9 yrs,,Liquid Hub( A Capgemini Company)  HYD  - Urgently Hiring Chat Bot Dev,,"chat bot, watson, kore.ai, ms bot framework, luis, AI...",Hyderabad,10to15
3-6 yrs,- 3-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in banking ...,Assistant Manager - Credit Risk - KPO,Analytics,"Excel, Data Analytics, SAS, Banking, VBA, Credit Risk, Problem Solving","Delhi NCR, Bengaluru, Gurgaon",10to15
4-8 yrs,"Experience in multi-threaded coding ( synchronization, object wait, notify), Executor services, Thread ...",Java Technical Lead,,"Spring Boot, Redis, Core Java, J2Ee, Rabbitmq, Rest, MongoDB, MySQL...",Bengaluru(1st Phase JP Nagar),15to25
1-4 yrs,- 1+ years of experience in mobile or online marketing with a track record of building and executing ...,Mobile App Marketing Specialist - Iit/nit/bits,Analytics,"SEO, Keyword Research, SEM, Online Marketing, Google Analytics...",Delhi NCR,6to10
3-5 yrs,At least 2 years of relevant external audit experience working with a public accounting firm and/or ...,TS - US - Assistant Manager,,"finance, accounting, cash flow, due diligence, financial planning, analysis...",Gurgaon,6to10
2-4 yrs,   Sourcing and attracting candidates by using databases and social media.  IT and ...,Senior Associate - Talent Aquisition,,"job posting, interviewing, recruitment, interview scheduling, sourcing, hr,...",Gurgaon,0to3
1-3 yrs,C Should have knowledge creating mobile views for reports and dashboards;Accenture Technology powers our ...,Microsoft Advanced Analytics,Analytics,"microsoft, Coding, Business process, Outsourcing, Publishing, Operations...",Chennai,6to10
8-11 yrs,"- Experience in one or more financial services businesses (cards, retail bank, mortgage etc);Looking for ...",Marketing Analytics Professional - Banking,Analytics,"Business Analysis, Marketing Analytics, SAS SQL, Statistical Modeling...",Bengaluru,15to25
8-12 yrs, 8-12 years of quality experience in IT function in the areas ...,General Manager IT,,"it operations, it infrastructure management, erp implementation...",Indore,15to25
3-8 yrs,Experience: over 3 years of exposure in Credit Analysis of ...,Manager/sr Manager - Credit (commodity Finance),,"credit analyst, Credit manager, credit appraisal, credit analysis...",Mumbai,15to25
2-7 yrs," 1 Year experience in Credit underwriting, Credit operation, credit officer, credit manager in any loans ...",Job Openings for Risk Manager in Karnataka Other Location ......apply,,"credit underwriting, credit analysis, credit management, risk management...","Hubli, Hospet, Koppal, Mysore, Shimoga",0to3
7-12 yrs,- 3-5 years of experience with Teradata and TSQL;Note : Its an urgent requirement looking for Hyderabad ...,Teradata Data Warehousing Engineer - Production Support,,"Teradata DBA, Data Warehousing, Production Engineering...",Hyderabad,15to25
2-7 yrs,- 2-6 years of experience in Management Consulting / Corporate Strategy in ...,Strategy Consultant - Education/hr/supply Chain/construction/finance,,"Market Research, Business Research, Market Analysis, Strategy Consulting...",Chennai,15to25
3-5 yrs,- Client Engagement & Relationship Management: Communicate with clients on a regular basis to ...,Senior Manager - Digital Marketing,,"Digital Marketing, Online Marketing, Content Marketing, Online Advertising,...",Delhi NCR,6to10
1-3 yrs,,"Web Designer, UI Designer",,"web designing, user interface designing, web technologies, photoshop...",Hyderabad(Nacharam),0to3
12-15 yrs,,Manager/ Senior Manager - Contracts (prabhadevi),,"Planning, Tendering, Contract Administration, Work Order, Rate Analysis...",Mumbai(Prabhadevi),10to15
3-5 yrs,,Business Analyst - E Tendering,,"Business Analysis, E - Tendering, Bidding, Techno commmercial",Delhi NCR,3to6
8-12 yrs,"Must be flexible, adaptable and have the ability to work in a fast paced changing environment;Must work ...",Business Analyst - Premier Institute,,"Use Cases, Sales Process, Business Development, Business Analysis...","Bengaluru, Chennai, Hyderabad, Trivandrum",10to15
8-13 yrs,- Experience developing ServiceNow applications from business requirements and/or technical design ...,Servicenow Architect/ Manager - ITIL,,"Javascript, HTML, Ajax, JSON, Web Development, Html5, Rest, Web Services...","Delhi NCR, Gurgaon",10to15
6-10 yrs,- A masters degree in Human Resources with at least 6 years of relevant HR experience;Desired skills and ...,Manager - Talent Management - Investment Firm,,"hr, employee engagement, talent management, policies...",Hyderabad,25to50
0-5 yrs,,Data Entry/home Base Job/ Online Work/part Time Work/freelancer work,,"part time, freelancing, data entry, present job, work from home...","Munger, Haridwar, Roorkee, Varanasi, Satna, Rewa, Jabalpur, Kolkata, Bhagalpur",0to3
2-7 yrs,Should have specialized hands-on expertise in analyzing insurance claim denials; take steps for ...,Denial Analyst,,"Medical Billing, Denial Management, AR Analyst, RCM...",Chennai,0to3
12-15 yrs,"Strong planning & tracking skills,  Strong Communication & Interaction skills,  Strong ...",Pre Sales Security Consultant (automation),,"Automation, Consulting, Change management, Risk management...",Bengaluru,15to25
10-15 yrs,Should be willing to travel extensively PAN India;Should have Financial Services & Insurance ...,Operations Manager-call Center (insurance Vertical),,"call center operations, operations management, Insurance, Life Insurance",Navi Mumbai,10to15
10-15 yrs,Good to have -  Experience in SaaS/ Cloud application development domain including security concerns and ...,Principal Software Engineer,Analytics,"Application development, Microstrategy, RDBMS, Stored procedures, Analytics...",Noida,15to25
2-5 yrs,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,Microsoft Azure Machine Learning,Analytics,"Manager Quality Assurance, Analytics, Machine learning, Business process...",Hyderabad,3to6
0-3 yrs,,Business Development Executive,,Business Development Executive,Delhi NCR,0to3
0-4 yrs,"Good time management and multi-tasking skills;0-4 years of relevant work experience, preferably in the ...","Sales Assistant, Business Development",,"Sales, Business Development, Marketing, Strategy, CRM, Collaterals, Finance...",Mumbai,0to3
2-5 yrs,We have extensive experience in providing consulting services with expertise in mapping business ...,WALK - IN :: SAP ABAP,,"SAP ABAP, OOPS, JSON, SOAP, Tcode, WebDynPro ABAP",Hyderabad,0to3
4-8 yrs,- Extensive experience using SAS/ R/ Python (4-8 years) to analyse and solve business problems;- 4+year ...,SBA/ AM/ Manager/ Senior Manager - Analytics - Group Disability,Analytics,"Predictive Modeling, Logistic Regression, R, SAS, Predictive Analytics...",Gurgaon,6to10
0-5 yrs,,Home Base Job/ Data Entry/online Work/part Time Work/freelancer work,,"part time, freelancing, data entry, present job, work from home...","rohtas, samastipur, chhapra, sheohar, sitamarhi, supaul, hajipur, bettiah, firozabad",0to3
2-5 yrs,"Dear Candidate,  Below mentioned is the JD of an exciting job opportunity at HDFC Life as an ...",Associate Manager,,"channel partners, customer handling, root cause analysis, fast track...",Mumbai(chinchpokli+1),0to3
10-15 yrs,2 years experience managing projects for software products and web applications Thorough understanding ...,Assoc. Project Manager,,"Analytical, Relationship building, Enterprise software, Project management,...",Trivandrum,15to25
5-7 yrs,5+ years overall experience in HR (e.g;2+ years experience in HR Analytics;The candidate should be ...,People Analytics Manager,Analytics,"Quantitative Analysis, Manpower Management",Pune,15to25
4-7 yrs,Kindly forward your resume to below mentioned mail ID with preferred work location and if this ...,Business Analyst- SRL Bangalore,,"Budgeting, Finance, Business Analysis, Senior Management...",Bengaluru,3to6
5-10 yrs,5+ years of development experience in multiple software engineering disciplines;Experience with machine ...,Machine Learning Engineer,,"Java, JSON, Software Development, Html5, Outbound, Rest...",Hyderabad,15to25
1-5 yrs,Two or more years of experience with top-notch programming skills and in- depth knowledge of modern UI ...,UI Developer,,"html, css, jquery, html5, svg, d3.js, canvas, ux, plugins...",Noida(Sector-62 Noida),3to6
1-6 yrs,"Experience using MS Office, Google Analytics, Wordpress, social media tracking software preferred;2 to 5 ...",Freelance | Content Marketing Manager | Content Developer,Analytics,"seo, sales, blogs, articles, marketing initiatives, content marketing...","Delhi NCR, Noida, Delhi",0to3
2-5 yrs,Candidates who have good communication skills;Candidates who have completed their graduation and have ...,Associate Manager,,"life insurance, general insurance, top management, channel partners...",Mumbai(chinchpokli+1),0to3
6-10 yrs,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,Application Developer,,"Maximo, Business process, Outsourcing, Analytical, Operations, Supervision,...",Mumbai,10to15
2-5 yrs,"- Experience in managing multiple advertising agencies, networks, affiliates & partners;- 2 - 4 ...",Assistant Manager/deputy Manager - Mobile Marketing,,"Digital Marketing, Mobile Marketing, Online Marketing, Advertising...",Gurgaon,6to10
4-9 yrs,Candidates should possess excellent written and verbal communication skills;2 to 12  years of relevant ...,Instructional Designer| Instructional Design| ID |E Learning,,"Captivate, Photoshop, Flash, ILT, Illustrator, Instructional Design, WBT...","Mumbai, Bengaluru, Delhi NCR",15to25
5-8 yrs,"Bachelors degree; experience in compliance, legal or other control-related function in the financial ...",Compliance Risk Management Officer,,"Legal Consultancy, Mba, Finance, Risk Management, Project Management...",Mumbai,6to10
12-17 yrs,"in Chemistry (preferably Analytical), Biochemistry or allied field such as Pharmaceutical science with ...","Director, Compendial Development Laboratory",,"method development, project development, method validation...",Hyderabad,15to25
10-18 yrs,3.	Very good know-how and practical experience in the field of databases with the aim of ...,Visteon is Looking for Site Manager/site Lead for its Goa Location,Analytics,"Site Management, Team Management, Report Preparation, Data Analytics...",Goa Other,10to15
1-4 yrs,- ISTQB certified or any testing course would be advantage;- Minimum 1 year experience in Mobile Testing ...,Manual Tester - Insurance Domain,,"Automation Testing, Manual Testing, Mobile Testing, General Insurance...",Mumbai,6to10
0-2 yrs,,"Process Associate, Senior Process Associate",,"Customer Service, Non Voice, Voice Support, Back Office Operations...",Hyderabad,0to3
2-7 yrs,,Opening for Process Trainer at Eclerx - Mumbai - Customer Operations,,"Process Training, Customer Operations, Soft Skills Trainer...",Navi Mumbai,0to3
12-14 yrs,A minimum of 12 years of experience as an individual contributor and a minimum of 5 years as a people ...,Sourcing/ Commodity Manager,,"Procurement, Spend Analysis, Global Sourcing, Strategic Sourcing...",Bengaluru,10to15
0-1 yrs,,Medical Coding Job for Biology / Botany / Zoology / Microbiology Grad,,"medical coding, healthcare, medical coder, medical coding executive...","Chennai, Madurai, Tirunelveli",0to3
7-12 yrs,"Qualification: Must be a PhD in any of the majors like General Management, Aviation management, ...",PhD Research Guides for Icri's PhD Research Scholars,,"phd, doctorate scholar, phd researcher, phd spss and statistical analysis...",Delhi NCR(Nehru Place),3to6
2-7 yrs,Layout pages as per clients requirement and specification within the stipulated time;* Very good command ...,Walk-ins for Indesign Operator,,"XML, HTML, ePub, CSS / XSLT, Team Leader",Delhi,0to3
8-12 yrs,"In addition, the candidate should have experience managing and demanding stakeholder across the ...",Process & Analytics Lead - Data Analytics - Pricing/benchmarking,Analytics,"Process & Analytics Lead, Data Analytics, Analytics, Pricing, Modelling","Hyderabad, Kolkata",10to15
8-12 yrs,"- Advanced Degree (Bachelors Degree Required, Masters Degree Preferred) in Statistics, Applied ...",Senior Manager - CCAR Modeling - KPO,,"Ccar, SAS SQL, Model Validation, Basel, Risk Management, Data Analysis...",Gurgaon,10to15
1-5 yrs,"o 1+yrs-5 years development experience in ASP.Net, SQL, Scripting, C#,, Jquery, SQL Server 2008/2014, ...",Hiring  Software Engineer for Gebbs Healthcare,,"sql server, asp.net, c#, .net, mvc, scripting, sql, webform",Navi Mumbai,0to3
